pricing_zone,slots,avg_util,avg_tariff,total_rev_base,total_rev_dyn,rev_gain_pct,slot_share_pct
discount,207495,0.17178232853924433,13.07790457601388,86123364.0840898,81113131.48023866,-5.81750684861684,58.33755060728745
moderate,19839,0.6740788563608311,19.669724280457682,225056909.74415064,306620846.7011498,36.24147201244465,5.5777665317139
normal,124632,0.41273092553382423,16.126484610693883,530177437.72876775,586343023.9754499,10.59373376718754,35.040485829959515
surge,3714,0.8747164549517036,25.250288099084546,45734751.62320956,72117270.82558975,57.6859352374651,1.0441970310391364
